Songs,Model,Median SDR,MAD SDR,Mean SDR,SDR Std,Source
10,GAN,1.983965,1.45067,0.0410285857142858,10.689719135518489,Vocals
20,GAN,2.08704,1.42766,0.2823284285714284,9.80545661853073,Vocals
50,GAN,1.4713150000000002,1.2996700000000003,0.07224964285714285,9.248452231130631,Vocals
10,FactorGAN,3.00948,1.645375,1.7975211571428573,8.113460729156188,Vocals
20,FactorGAN,3.156565,1.6046550000000002,1.8749713857142856,8.30691717643957,Vocals
50,FactorGAN,3.4388,1.559725,2.0191757,8.65596928418218,Vocals
10,GAN,6.17731,1.540635,6.183414271428571,2.625664373284633,Accompaniment
20,GAN,5.991875,1.5996899999999998,6.233455328571428,2.8197917995690553,Accompaniment
50,GAN,5.7209900000000005,1.7076749999999996,5.969218571428572,2.8519183877568577,Accompaniment
10,FactorGAN,6.679995,1.7517950000000004,6.891838142857144,2.9684880821473953,Accompaniment
20,FactorGAN,6.799595,1.7324549999999999,6.9449088,2.9332867432936025,Accompaniment
50,FactorGAN,7.022645,1.7381000000000002,7.1121528,2.8895338557354373,Accompaniment
