LS,Model,Paired samples,Dataset,Samples_Validation,Samples_Test
0.2997002340853214,FactorGAN,2975,cityscapes,400,100
0.21766618266701698,FactorGAN,2975,cityscapes,400,100
0.28905053064227104,FactorGAN,2975,cityscapes,400,100
0.21604740619659424,FactorGAN,2975,cityscapes,400,100
0.19727909564971924,FactorGAN,2975,cityscapes,400,100
0.09539508633315563,GAN (big),2975,cityscapes,400,100
0.18587369099259377,GAN (big),2975,cityscapes,400,100
0.1633717156946659,GAN (big),2975,cityscapes,400,100
0.16083178855478764,GAN (big),2975,cityscapes,400,100
0.16951332241296768,GAN (big),2975,cityscapes,400,100
0.1349962204694748,GAN (big),2975,cityscapes,400,100
0.15365711972117424,GAN (big),2975,cityscapes,400,100
0.1875893995165825,GAN (big),2975,cityscapes,400,100
0.12070108018815517,GAN (big),2975,cityscapes,400,100
0.1576228328049183,GAN (big),2975,cityscapes,400,100
0.12126125209033489,GAN (big),1000,cityscapes,400,100
0.1332952231168747,GAN (big),1000,cityscapes,400,100
0.09272367879748344,GAN (big),1000,cityscapes,400,100
0.18972866609692574,GAN (big),1000,cityscapes,400,100
0.1441386379301548,GAN (big),1000,cityscapes,400,100
0.14152801036834717,GAN (big),1000,cityscapes,400,100
0.05023533571511507,GAN (big),1000,cityscapes,400,100
0.19023562967777252,GAN (big),1000,cityscapes,400,100
0.1459544152021408,GAN (big),1000,cityscapes,400,100
0.1345924697816372,GAN (big),1000,cityscapes,400,100
0.04006412858143449,GAN (big),100,cityscapes,400,100
0.03009739425033331,GAN (big),100,cityscapes,400,100
0.04413636680692434,GAN (big),100,cityscapes,400,100
0.021442324155941606,GAN (big),100,cityscapes,400,100
0.03707707207649946,GAN (big),100,cityscapes,400,100
0.036953238770365715,GAN (big),100,cityscapes,400,100
0.04017030727118254,GAN (big),100,cityscapes,400,100
0.03742054011672735,GAN (big),100,cityscapes,400,100
0.0391128808259964,GAN (big),100,cityscapes,400,100
0.04093080945312977,GAN (big),100,cityscapes,400,100
0.4937850534915924,GAN (big),49825,edges2shoes,160,40
0.4875243380665779,GAN (big),49825,edges2shoes,160,40
0.4851335920393467,GAN (big),49825,edges2shoes,160,40
0.5300062000751495,GAN (big),49825,edges2shoes,160,40
